threads,run1,run2,run3,run4,run5,mean
2,1.59,1.66,1.55,1.60,1.70,1.620
3,1.93,2.15,2.10,1.93,2.00,2.022
4,2.26,2.50,2.30,2.46,2.41,2.386
5,2.72,3.01,2.45,2.69,2.54,2.682
6,3.01,2.97,3.10,3.16,3.02,3.052
7,3.27,3.26,3.04,3.40,3.16,3.226
8,3.81,3.42,3.76,3.52,3.97,3.696
