threads,run1,run2,run3,run4,run5,mean
2,1.90,1.85,1.78,1.82,1.83,1.836
3,1.55,1.49,1.51,1.51,1.58,1.528
4,2.27,2.35,2.21,2.13,2.20,2.232
5,2.27,2.24,2.21,2.21,2.19,2.224
6,2.62,2.49,2.94,2.94,2.88,2.774
7,3.05,3.10,3.12,3.08,3.22,3.114
8,3.52,3.76,3.46,3.51,3.54,3.558
