threads,run1,run2,run3,run4,run5,mean
2,1.80,1.99,1.86,1.79,1.99,1.886
3,2.80,2.73,2.76,2.62,2.70,2.722
4,3.36,3.34,3.58,3.47,3.60,3.470
5,4.35,3.73,4.09,4.17,4.34,4.136
6,4.58,4.29,4.78,4.56,4.96,4.634
7,5.07,5.18,5.23,5.29,5.52,5.258
8,4.77,5.18,5.19,5.35,5.61,5.220
