run,serial_ms,ispc_ms,task_ms,ispc_speedup,task_speedup,task_over_ispc
1,2114.833,347.185,56.039,6.09,37.74,6.195
2,2011.986,332.626,57.845,6.05,34.78,5.750
3,1906.267,313.156,50.600,6.09,37.67,6.189
4,1910.007,344.815,54.878,5.54,34.80,6.283
5,1913.325,317.714,52.074,6.02,36.74,6.101
