run,serial_ms,ispc_ms,task_ms,ispc_speedup,task_speedup,task_over_ispc
1,280.188,314.675,50.063,0.89,5.60,6.286
2,269.051,317.028,52.795,0.85,5.10,6.005
3,299.240,312.670,51.251,0.96,5.84,6.101
4,264.963,331.966,50.395,0.80,5.26,6.587
5,263.326,342.202,55.477,0.77,4.75,6.168
