threads,worker,n_samples,min_ms,median_ms,max_ms
2,0,25,207.743,231.375,253.057
2,1,25,142.922,161.037,175.680
3,0,25,171.215,178.973,238.952
3,1,25,108.809,115.227,167.010
3,2,25,102.281,108.612,150.115
4,0,25,118.193,148.073,242.716
4,1,25,66.544,84.592,228.882
4,2,25,64.306,83.831,210.161
4,3,25,64.580,80.453,136.624
5,0,25,105.123,114.051,123.948
5,1,25,52.545,59.117,66.303
5,2,25,59.419,65.224,74.182
5,3,25,51.371,57.266,64.154
5,4,25,51.349,57.836,65.574
6,0,25,90.263,102.347,109.244
6,1,25,51.540,58.130,62.369
6,2,25,44.979,51.322,56.355
6,3,25,45.623,52.218,60.418
6,4,25,43.131,50.548,56.531
6,5,25,41.741,47.551,49.679
7,0,25,78.332,93.134,102.283
7,1,25,48.985,55.335,65.732
7,2,25,37.124,41.450,52.410
7,3,25,43.450,50.761,58.671
7,4,25,35.728,43.489,50.628
7,5,25,38.838,46.263,57.529
7,6,25,34.578,40.811,46.193
8,0,25,74.027,84.344,120.619
8,1,25,47.200,56.050,101.569
8,2,25,33.424,39.914,45.497
8,3,25,35.925,42.624,53.184
8,4,25,36.819,42.948,53.155
8,5,25,34.798,39.470,46.934
8,6,25,36.858,43.464,50.987
8,7,25,29.216,35.798,48.862
