threads,run1,run2,run3,run4,run5,mean
2,1.54,1.58,1.58,1.63,1.64,1.594
3,1.94,2.00,1.91,2.03,1.95,1.966
4,2.20,1.78,2.42,2.31,2.50,2.242
5,2.63,2.59,2.79,2.75,2.78,2.708
6,3.18,3.23,3.10,3.15,3.17,3.166
7,3.42,3.37,3.84,3.45,4.13,3.642
8,3.90,3.69,3.83,3.85,3.67,3.788
