threads,run1,run2,run3,run4,run5,mean
2,1.83,1.82,1.81,1.81,1.86,1.826
3,1.56,1.54,1.58,1.59,1.62,1.578
4,2.26,2.33,2.17,2.16,2.16,2.216
5,2.18,2.22,2.16,1.96,2.25,2.154
6,2.82,2.68,2.58,2.71,2.86,2.730
7,2.88,2.94,3.26,2.66,2.97,2.942
8,3.22,2.84,3.36,3.52,3.22,3.232
