run,serial_ms,ispc_ms,task_ms,ispc_speedup,task_speedup,task_over_ispc
1,764.116,186.922,33.802,4.09,22.61,5.530
2,819.760,201.094,33.387,4.08,24.55,6.023
3,780.658,189.488,28.098,4.12,27.78,6.744
4,803.748,198.532,29.688,4.05,27.07,6.687
5,786.918,191.474,29.046,4.11,27.09,6.592
